control_wpid,courseID,key,death,dayindex,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,indiv_group2,group_recheck
Jocelynnjocy,496,Jocelynnjocy496,1,35,9,191.3333333,0,0,2,2,2,0,0,36,1,-1,-1,-1
Justineronas93,496,Justineronas93496,1,35,21,322.4285714,625,7,2,2,3,1,0,36,1,-1,-1,1
Justineronass93,496,Justineronass93496,1,21,8,75.25,188,2,0,2,0,2,0,36,1,-1,-1,1
Kelle065,496,Kelle065496,1,35,8,70.125,148.5,2,1,2,0,1,0,36,1,-1,-1,1
LauraRivera 091,496,LauraRivera 091496,1,32,78,38.42307692,117.3333333,6,36,7,4,2,0,36,1,-1,-1,-1
Lnajmi,496,Lnajmi496,1,35,15,418.6,937.6,5,5,2,0,1,0,36,1,-1,-1,-1
Mann027,496,Mann027496,1,34,14,82.14285714,298,2,3,3,1,1,0,36,1,-1,-1,-1
Masterflex79,496,Masterflex79496,1,21,15,256.2,532,5,0,5,3,3,0,36,1,-1,-1,1
Maydeli94,496,Maydeli94496,1,20,30,75.86666667,414.5,2,8,4,3,1,0,36,1,-1,-1,1
Mgvasquez94,496,Mgvasquez94496,1,27,27,232.2222222,523,1,0,11,10,1,0,36,1,-1,-1,-1
Mlssntgo,496,Mlssntgo496,1,35,33,357.4242424,830.6666667,6,2,15,5,2,0,36,1,-1,-1,-1
Mmencias,496,Mmencias496,1,34,7,330.2857143,320,1,0,2,0,1,0,36,1,-1,-1,1
Nieto013,496,Nieto013496,1,28,20,379.4,1129,3,5,4,3,2,0,36,1,-1,-1,-1
Shannonrp,496,Shannonrp496,1,33,27,370.2222222,437.875,8,4,7,4,3,0,36,1,-1,-1,1
Tate012,496,Tate012496,1,14,6,200.8333333,263,3,0,2,1,1,0,36,1,-1,-1,-1
Willi298,496,Willi298496,1,35,12,349.1666667,213,1,0,5,5,1,0,36,1,-1,-1,-1
Yvetteponce,496,Yvetteponce496,1,35,43,71.46511628,310,7,6,2,0,2,0,36,1,-1,-1,1
Constantine III,497,Constantine III497,1,17,36,222.8888889,-22.77777778,18,2,13,3,1,0,4,1,-1,-1,1
Crenton,497,Crenton497,1,510,9,102.3333333,0,0,0,5,3,0,0,4,1,-1,-1,-1
Jmenczer,497,Jmenczer497,1,23,1,0,0,0,0,0,0,0,0,4,1,-1,-1,-1
Keldanie,497,Keldanie497,1,115,5,36.8,15,2,0,2,0,1,0,4,1,-1,-1,1
2-Door,498,2-Door498,1,72,23,333.0869565,1548,1,2,18,1,1,0,23,1,-1,-1,-1
Amato621,498,Amato621498,1,72,11,447.7272727,468,6,1,2,1,1,0,23,1,-1,-1,-1
Babbleingbrit,498,Babbleingbrit498,1,82,12,719.8333333,675,1,1,4,4,1,0,23,1,-1,-1,-1
CC279,498,CC279498,1,73,18,645.2777778,966.75,4,0,12,2,2,0,23,1,-1,-1,-1
Davissha001,498,Davissha001498,1,68,20,181,44.2,5,1,9,2,1,0,23,1,-1,-1,-1
Englishaccount1102,498,Englishaccount1102498,1,69,31,107.9354839,35.5,4,3,18,3,1,0,23,1,-1,-1,-1
Famato2196,498,Famato2196498,1,72,22,132.4090909,113.8888889,9,1,10,1,1,0,23,1,-1,-1,-1
Froggy95,498,Froggy95498,1,72,27,391.6296296,292.3,10,1,1,15,1,0,23,1,-1,-1,-1
Houston.Stuart,498,Houston.Stuart498,1,72,13,773.7692308,394,3,2,6,1,1,0,23,1,-1,-1,-1
Itsearnest,498,Itsearnest498,1,71,47,199,96.33333333,30,4,12,1,1,0,23,1,-1,-1,-1
Izzyk12,498,Izzyk12498,1,71,16,406.5,319.5,2,2,10,1,1,0,23,1,-1,-1,-1
Kboldt3434,498,Kboldt3434498,1,86,22,209.4545455,-45.25,4,1,11,3,1,0,23,1,-1,-1,-1
Kimehameha,498,Kimehameha498,1,28,18,84.55555556,0,0,2,9,2,0,0,23,1,-1,-1,-1
Kolzel,498,Kolzel498,1,72,32,476.3125,4275,2,1,21,7,1,0,23,1,-1,-1,-1
L.cotter20,498,L.cotter20498,1,70,26,227.6923077,461,2,2,17,3,1,0,23,1,-1,-1,-1
Marinaluvk,498,Marinaluvk498,1,72,18,507.2222222,4419,1,2,8,7,1,0,23,1,-1,-1,-1
McChanz2,498,McChanz2498,1,71,14,262.4285714,703,2,2,7,2,1,0,23,1,-1,-1,-1
MissMissi,498,MissMissi498,1,72,18,377.2777778,297,5,0,10,2,1,0,23,1,-1,-1,-1
Mondragonj103,498,Mondragonj103498,1,72,57,264.8070175,314.6363636,11,2,42,1,1,0,23,1,-1,-1,-1
NEWYEARS2014,498,NEWYEARS2014498,1,72,10,583.8,1653,1,1,6,2,1,0,23,1,-1,-1,-1
ProfTAH,498,ProfTAH498,1,1329,67,695.5373134,52,1,0,61,4,1,0,23,1,-1,-1,1
Rkon3318,498,Rkon3318498,1,70,29,108.5517241,51.76923077,13,1,11,3,2,0,23,1,-1,-1,1
Zharvey,498,Zharvey498,1,72,26,217.4230769,332.6923077,13,4,8,1,1,0,23,1,-1,-1,-1
Alexmb1993,499,Alexmb1993499,1,82,30,638.8333333,983,17,2,2,7,2,0,18,1,-1,-1,-1
AMJM8,499,AMJM8499,1,102,74,279.8108108,474.9333333,45,1,16,6,3,0,18,1,-1,-1,-1
Arvidsson.d,499,Arvidsson.d499,1,379,33,664.6666667,794.3125,16,1,12,2,1,0,18,1,-1,-1,-1
Corbin Apple,499,Corbin Apple499,1,394,84,276.9047619,290.7179487,39,3,12,24,7,0,18,1,-1,-1,1
Elbamaria0005,499,Elbamaria0005499,1,95,18,1038.611111,3003.666667,3,2,9,2,1,0,18,1,-1,-1,-1
Eoinm684,499,Eoinm684499,1,86,43,402.9302326,511.3333333,30,5,3,1,2,0,18,1,-1,-1,1
Farley.ty,499,Farley.ty499,1,86,50,461.2,805.0909091,11,6,17,14,3,0,18,1,-1,-1,1
Gordon.re,499,Gordon.re499,1,72,59,205.2711864,0,0,3,43,10,0,0,18,1,-1,-1,-1
Howley.l,499,Howley.l499,1,185,50,553.12,770.5483871,31,5,4,8,2,0,18,1,-1,-1,1
Jerrylin1208,499,Jerrylin1208499,1,86,37,815.4864865,317.2857143,14,3,12,1,4,0,18,1,-1,-1,-1
Melissa F,499,Melissa F499,1,56,24,440.9583333,606,5,4,9,4,2,0,18,1,-1,-1,-1
MeredithMimoso,499,MeredithMimoso499,1,83,33,611.5454545,932.375,8,3,13,7,2,0,18,1,-1,-1,-1
Michaelsmani,499,Michaelsmani499,1,86,49,891.0408163,488.6296296,27,5,13,1,5,0,18,1,-1,-1,-1
Oliverk25,499,Oliverk25499,1,85,52,621.25,1425.571429,7,4,29,10,1,0,18,1,-1,-1,-1
PhilA10,499,PhilA10499,1,63,14,1063.142857,5947.5,2,5,2,2,1,0,18,1,-1,-1,-1
Puzankova.v,499,Puzankova.v499,1,84,15,609.6,685,1,1,8,3,1,0,18,1,-1,-1,-1
Takkygirl1153,499,Takkygirl1153499,1,58,19,1066.157895,2949.333333,3,2,10,2,1,0,18,1,-1,-1,-1
Timot2016,499,Timot2016499,1,61,24,801.7083333,2216,2,5,12,3,1,0,18,1,-1,-1,-1
Abutinalbert,500,Abutinalbert500,1,35,6,240.1666667,430,1,0,2,2,1,0,24,1,-1,-1,-1
Alissarobles,500,Alissarobles500,1,9,4,251.5,0,0,0,2,1,0,0,24,1,-1,-1,-1
Angieurrutia,500,Angieurrutia500,1,35,7,101.2857143,109,2,0,3,0,1,0,24,1,-1,-1,-1
C trujillo,500,C trujillo500,1,37,7,141.1428571,97.33333333,3,0,2,1,1,0,24,1,-1,-1,-1
Estradapatricia714,500,Estradapatricia714500,1,35,6,330,207,1,0,1,3,1,0,24,1,-1,-1,-1
Freddylazaro,500,Freddylazaro500,1,35,29,224.4827586,192.2857143,7,1,11,6,2,0,24,1,-1,-1,-1
J soto16,500,J soto16500,1,51,6,311.5,917,1,0,2,2,1,0,24,1,-1,-1,-1
Jedalis16,500,Jedalis16500,1,35,8,67.625,71.4,5,0,2,0,1,0,24,1,-1,-1,-1
Jescorona89,500,Jescorona89500,1,35,5,97.4,0,0,0,3,0,0,0,24,1,-1,-1,-1
Jessicaburger8,500,Jessicaburger8500,1,21,4,331.75,499,1,0,1,1,1,0,24,1,-1,-1,1
Jjrene1991,500,Jjrene1991500,1,35,3,469.6666667,663,1,0,0,2,1,0,24,1,-1,-1,-1
JoseMunoz01,500,JoseMunoz01500,1,35,3,350.3333333,464.5,2,0,0,1,1,0,24,1,-1,-1,-1
K.alcantara,500,K.alcantara500,1,35,11,268.5454545,604,1,2,7,0,1,0,24,1,-1,-1,-1
Kelseyseko,500,Kelseyseko500,1,35,4,229.75,174,1,1,1,0,1,0,24,1,-1,-1,-1
Maritzaespitia,500,Maritzaespitia500,1,34,7,278.5714286,482,1,0,2,3,1,0,24,1,-1,-1,-1
Marlenecarvajal,500,Marlenecarvajal500,1,31,3,513.6666667,892,1,0,0,2,1,0,24,1,-1,-1,-1
Missgomez19,500,Missgomez19500,1,35,4,360,258,2,0,0,2,1,0,24,1,-1,-1,-1
Mitchellq641,500,Mitchellq641500,0,1161,10,219.4,0,0,0,6,0,0,0,24,1,-1,-1,-1
PriscillaJSolis,500,PriscillaJSolis500,1,35,9,182.1111111,299,1,2,3,0,1,0,24,1,-1,-1,-1
Ruizvaleria,500,Ruizvaleria500,1,35,7,85,71,1,0,4,0,1,0,24,1,-1,-1,-1
Sarahyang89,500,Sarahyang89500,1,36,10,191.5,662,1,0,4,2,1,0,24,1,-1,-1,-1
Sjmireles,500,Sjmireles500,1,2,2,147.5,0,0,0,1,0,0,0,24,1,-1,-1,-1
Stephavila21,500,Stephavila21500,1,35,25,200.8,675,1,3,9,1,1,0,24,1,-1,-1,1
Taniacoyazo,500,Taniacoyazo500,1,37,5,225.4,0,0,2,0,3,0,0,24,1,-1,-1,-1
Applebball5,504,Applebball5504,1,107,30,572.1333333,800.85,20,1,6,2,1,0,20,1,-1,-1,-1
Blazerlax7,504,Blazerlax7504,1,99,9,520.5555556,1020.5,2,1,3,2,2,0,20,1,-1,-1,-1
Bubble o 0,504,Bubble o 0504,1,105,22,334.8181818,754.3333333,9,0,11,1,3,0,20,1,-1,-1,-1
Businessisbusiness,504,Businessisbusiness504,1,114,32,273.4375,191.3809524,21,1,8,1,6,0,20,1,-1,-1,-1
Capsfan93,504,Capsfan93504,1,92,84,622.1547619,1816.714286,14,3,56,10,3,0,20,1,-1,-1,-1
ClimateCoins,504,ClimateCoins504,1,108,29,445.8275862,537.8571429,14,1,9,2,2,0,20,1,-1,-1,1
Cubfan29,504,Cubfan29504,1,484,26,584.3076923,0,0,0,5,18,0,0,20,1,-1,-1,-1
Dillave219,504,Dillave219504,1,109,27,312.037037,405.6666667,15,2,3,6,2,0,20,1,-1,-1,-1
Duckcollector8,504,Duckcollector8504,1,107,30,210.9333333,274.9333333,15,1,10,2,1,0,20,1,-1,-1,-1
Enveconfall2015,504,Enveconfall2015504,1,86,17,640.7647059,602.4285714,7,1,6,2,1,0,20,1,-1,-1,-1
Ettheman,504,Ettheman504,1,109,46,285.1086957,447.55,20,3,10,8,1,0,20,1,-1,-1,-1
Hmmsefc95,504,Hmmsefc95504,1,109,31,172.3225806,198.2142857,14,1,3,11,1,0,20,1,-1,-1,-1
Jcz77,504,Jcz77504,1,24,3,48,0,0,0,2,0,0,0,20,1,-1,-1,-1
Larryhoover23,504,Larryhoover23504,1,109,34,798.6764706,1086.578947,19,3,10,1,1,0,20,1,-1,-1,-1
Merica93,504,Merica93504,1,109,15,8648,1290.5,6,1,6,1,2,0,20,1,-1,-1,1
Personpeeple94,504,Personpeeple94504,1,17,7,163.1428571,0,0,1,3,1,0,0,20,1,-1,-1,-1
PineCone66,504,PineCone66504,1,109,43,240,318.9090909,22,6,5,8,2,0,20,1,-1,-1,-1
Ravensfan25,504,Ravensfan25504,1,109,18,352.3888889,496.5,10,2,3,2,2,0,20,1,-1,-1,1
Rukataro,504,Rukataro504,1,109,19,477.3684211,1155.333333,3,4,8,2,2,0,20,1,-1,-1,-1
Usulutan86,504,Usulutan86504,1,112,71,321.6619718,360.4074074,27,10,22,10,6,0,20,1,-1,-1,-1
Venus-vontrap,504,Venus-vontrap504,1,105,50,228.22,238.9722222,36,0,4,7,1,0,20,1,-1,-1,-1
Aekuzmik,505,Aekuzmik505,1,84,98,177.6326531,226.2878788,66,11,7,4,3,0,14,1,-1,-1,1
Alan.taylor2013,505,Alan.taylor2013505,1,70,38,1030.710526,2049.857143,7,5,14,6,2,0,14,1,-1,-1,1
Albeliz SC,505,Albeliz SC505,1,222,55,263.5454545,22.88888889,9,3,34,4,1,0,14,1,-1,-1,1
Amrita1712,505,Amrita1712505,1,70,32,351.90625,464.45,20,2,6,3,4,0,14,1,-1,-1,1
Azulnocturno,505,Azulnocturno505,1,715,2,241.5,0,0,0,2,0,0,0,14,1,-1,-1,-1
Barbroam,505,Barbroam505,1,91,43,321.1627907,377.68,25,2,7,6,6,0,14,1,-1,-1,1
Gerkenke,505,Gerkenke505,1,84,53,328.4339623,379.2,15,6,22,3,6,0,14,1,-1,-1,1
Huthjy,505,Huthjy505,1,70,17,900.5882353,3301,4,0,9,3,4,0,14,1,-1,-1,1
Joberndorfer,505,Joberndorfer505,1,80,27,331,571.0769231,13,8,2,0,2,0,14,1,-1,-1,-1
Mdahm85,505,Mdahm85505,1,79,28,777.2857143,1224.714286,7,3,9,6,4,0,14,1,-1,-1,1
Millebg,505,Millebg505,1,82,40,-2860.3,-4027.37931,29,5,2,1,5,0,14,1,-1,-1,1
Razmc32,505,Razmc32505,1,89,10,105.3,0,0,2,3,2,0,0,14,1,-1,-1,-1
SiSreach,505,SiSreach505,1,252,19,437.4210526,517.7857143,14,2,1,0,5,0,14,1,-1,-1,1
Sunnyskim,505,Sunnyskim505,1,79,30,161.5333333,193.1304348,23,3,2,0,4,0,14,1,-1,-1,1
Tzmcc,505,Tzmcc505,1,377,15,137.1333333,258.5,2,0,10,3,2,0,14,1,-1,-1,-1
ABeaC,506,ABeaC506,1,4,10,101.9,0,0,0,6,3,0,0,26,1,-1,,-1
Amsjc66,506,Amsjc66506,1,11,12,134.3333333,0,0,0,7,4,0,0,26,1,-1,,-1
Avocado508,506,Avocado508506,1,6,11,113.8181818,0,0,0,7,3,0,0,26,1,-1,,-1
BagelPrint,506,BagelPrint506,1,9,3,62.33333333,0,0,0,2,0,0,0,26,1,-1,,-1
Bio2016,506,Bio2016506,1,6,11,118.1818182,0,0,0,6,4,0,0,26,1,-1,,-1
Blair191,506,Blair191506,1,14,19,128.8421053,0,0,0,11,7,0,0,26,1,-1,,-1
Bnn143,506,Bnn143506,1,14,2,76,0,0,0,2,0,0,0,26,1,-1,,-1
Buttersnaps,506,Buttersnaps506,1,14,10,117.3,0,0,0,6,3,0,0,26,1,-1,,-1
Chestnut10,506,Chestnut10506,1,6,10,115.9,0,0,0,6,3,0,0,26,1,-1,,-1
Cmnyc99,506,Cmnyc99506,1,7,4,55.5,0,0,0,3,0,0,0,26,1,-1,,-1
Coffee123456,506,Coffee123456506,1,14,11,127.9090909,0,0,0,6,4,0,0,26,1,-1,,-1
Cookiemonsterinc,506,Cookiemonsterinc506,1,12,9,47.66666667,0,0,0,8,0,0,0,26,1,-1,,-1
Degenrin,506,Degenrin506,1,8,9,132.2222222,0,0,0,4,4,0,0,26,1,-1,,-1
Eaglet88,506,Eaglet88506,1,3,10,102.3,0,0,0,6,3,0,0,26,1,-1,,-1
Happy2016,506,Happy2016506,1,8,13,75.15384615,0,0,0,9,3,0,0,26,1,-1,,-1
Hogman22,506,Hogman22506,1,34,12,122,0,0,0,7,4,0,0,26,1,-1,,-1
Meltedsand,506,Meltedsand506,1,17,11,96.63636364,0,0,0,8,3,0,0,26,1,-1,,-1
Moose2014,506,Moose2014506,1,15,11,89.36363636,0,0,0,7,3,0,0,26,1,-1,,-1
Nrweg21,506,Nrweg21506,1,9,16,75.3125,0,0,0,11,4,0,0,26,1,-1,,-1
RitchiMeg,506,RitchiMeg506,1,9,3,73.33333333,0,0,0,2,0,0,0,26,1,-1,,-1
Shea.m17,506,Shea.m17506,1,9,3,61.66666667,0,0,0,2,0,0,0,26,1,-1,,-1
Sneeringfish,506,Sneeringfish506,1,9,3,63,0,0,0,2,0,0,0,26,1,-1,,-1
Sousaman44,506,Sousaman44506,1,16,10,86.2,0,0,0,8,1,0,0,26,1,-1,,-1
Sunset24,506,Sunset24506,1,9,20,73.5,0,0,0,13,6,0,0,26,1,-1,,-1
Youjb7,506,Youjb7506,1,8,7,148.5714286,0,0,0,3,3,0,0,26,1,-1,,-1
CoreyLester,508,CoreyLester508,1,71,27,325.7037037,345.36,25,0,1,0,2,0,8,1,-1,-1,1
Dhjung.wisc,508,Dhjung.wisc508,1,37,4,196.5,0,0,1,2,0,0,0,8,1,-1,-1,-1
Dhjung87,508,Dhjung87508,1,42,7,203,0,0,0,2,4,0,0,8,1,-1,-1,-1
Kharbat2,508,Kharbat2508,1,0,3,63.33333333,0,0,0,2,0,0,0,8,1,-1,-1,-1
Krifken,508,Krifken508,1,77,26,422.4230769,454,24,0,1,0,2,0,8,1,-1,-1,1
Modunphy,508,Modunphy508,1,59,36,272.4722222,324,29,3,2,1,2,0,8,1,-1,-1,-1
Nkim69,508,Nkim69508,1,81,44,294.7954545,0,0,0,43,0,0,0,8,1,-1,-1,-1
Rlgunte,508,Rlgunte508,1,63,27,488.5185185,587.6818182,22,1,2,1,3,0,8,1,-1,-1,-1
123kari,509,123kari509,1,75,19,276.0526316,429,1,0,16,0,1,0,18,1,-1,-1,-1
AnjelicaR,509,AnjelicaR509,1,41,15,355.2666667,232,2,0,10,0,2,0,18,1,-1,-1,1
Brownels,509,Brownels509,1,996,6,180.5,0,0,0,2,3,0,0,18,1,-1,-1,-1
Cchang89,509,Cchang89509,1,80,28,701.7142857,2172.428571,7,0,19,0,1,0,18,1,-1,-1,1
Chauhank,509,Chauhank509,1,56,14,452.2142857,0,0,0,13,0,0,0,18,1,-1,-1,-1
Jana.borras,509,Jana.borras509,1,76,91,167.6483516,178.4,5,0,70,6,4,0,18,1,-1,-1,1
JessicaHurlbut,509,JessicaHurlbut509,1,0,1,0,0,0,0,0,0,0,0,18,1,-1,-1,-1
JosefinaSD,509,JosefinaSD509,1,6,3,112.6666667,0,0,0,2,0,0,0,18,1,-1,-1,-1
Jumlauf,509,Jumlauf509,1,83,21,229.8095238,274.9411765,17,0,1,1,1,0,18,1,-1,-1,-1
Kayquennell,509,Kayquennell509,1,75,52,956.9423077,2892.666667,9,0,41,0,2,0,18,1,-1,-1,1
Kdmang91,509,Kdmang91509,1,57,7,656.1428571,0,0,0,5,0,0,0,18,1,-1,-1,-1
Kittiexkat,509,Kittiexkat509,1,85,91,487.5604396,876.4285714,14,7,69,0,1,0,18,1,-1,-1,-1
Meaganfiddes,509,Meaganfiddes509,1,80,12,897,1694,6,0,4,0,1,0,18,1,-1,-1,-1
Roropinkerton,509,Roropinkerton509,1,79,41,582.7073171,648.4722222,36,0,3,0,1,0,18,1,-1,-1,-1
SamanthaDex,509,SamanthaDex509,1,444,17,284.8823529,375.5,2,0,11,2,2,0,18,1,-1,-1,-1
SamMaalouf,509,SamMaalouf509,1,77,14,215,509,1,0,8,1,1,0,18,1,-1,-1,1
SamuelYoungLee,509,SamuelYoungLee509,1,79,76,268.3157895,722.9230769,13,0,60,1,2,0,18,1,-1,-1,1
Somerv21,509,Somerv21509,1,76,41,446.1707317,468.3529412,17,0,22,0,1,0,18,1,-1,-1,1
Susanacadavid,509,Susanacadavid509,1,70,15,1706.4,3994.5,2,1,11,1,1,0,18,1,-1,-1,1
Akuan7431,510,Akuan7431510,1,28,4,612,2180,1,0,2,0,1,0,34,1,-1,-1,-1
Alexxcvill,510,Alexxcvill510,1,29,6,494.5,1399,2,0,2,0,1,0,34,1,-1,-1,-1
Alijaber22,510,Alijaber22510,1,30,4,978,3661,1,0,2,0,1,0,34,1,-1,-1,-1
Asherreed,510,Asherreed510,1,30,8,471.375,706.8,5,0,2,0,1,0,34,1,-1,-1,-1
Asvitak2,510,Asvitak2510,1,26,5,972.8,2330,2,0,2,0,2,0,34,1,-1,-1,-1
Avoirshoshana,510,Avoirshoshana510,1,44,8,144,188.6,5,0,2,0,2,0,34,1,-1,-1,-1
Brittr93,510,Brittr93510,1,31,4,750.5,2798,1,0,2,0,1,0,34,1,-1,-1,-1
Brooke2796,510,Brooke2796510,1,31,7,-46.14285714,-132.25,4,0,2,0,4,0,34,1,-1,-1,-1
Danielleyi123,510,Danielleyi123510,1,30,1,2788,2788,1,0,0,0,1,0,34,1,-1,-1,-1
Dklotzer,510,Dklotzer510,1,26,5,412.8,631,3,0,2,0,3,0,34,1,-1,-1,-1
Dr. JessicaMiller,510,Dr. JessicaMiller510,1,35,3,1026,1026,3,0,0,0,1,0,34,1,-1,-1,-1
Emmabenyosef,510,Emmabenyosef510,1,36,8,404,646.5,4,1,2,0,2,0,34,1,-1,-1,-1
Emonib1,510,Emonib1510,1,31,11,281.4545455,1315.5,2,3,2,0,2,0,34,1,-1,-1,-1
Esalgado2,510,Esalgado2510,1,30,4,735.75,2738,1,0,2,0,1,0,34,1,-1,-1,-1
Esme23plb,510,Esme23plb510,1,16,3,68.33333333,0,0,0,2,0,0,0,34,1,-1,-1,-1
Gdawwg 9,510,Gdawwg 9510,1,31,4,600.75,2168,1,0,2,0,1,0,34,1,-1,-1,-1
JBay03,510,JBay03510,1,31,4,1189.25,2293,2,0,2,0,2,0,34,1,-1,-1,-1
Jenny014,510,Jenny014510,1,23,3,68,0,0,0,2,0,0,0,34,1,-1,-1,-1
Jmferrer1213,510,Jmferrer1213510,1,44,19,391.4210526,450.5714286,7,1,7,3,1,0,34,1,-1,-1,-1
Jthetherington,510,Jthetherington510,1,23,3,70,0,0,0,2,0,0,0,34,1,-1,-1,-1
KFunk,510,KFunk510,1,30,7,572.4285714,1256.666667,3,0,3,0,1,0,34,1,-1,-1,-1
Lagunes96,510,Lagunes96510,1,44,8,318.875,469.2,5,0,2,0,1,0,34,1,-1,-1,-1
Lgomez14,510,Lgomez14510,1,31,12,341.5833333,432.7777778,9,0,2,0,1,0,34,1,-1,-1,-1
LittleMSunshine 78,510,LittleMSunshine 78510,1,31,4,778,2898,1,0,2,0,1,0,34,1,-1,-1,-1
MLW1996,510,MLW1996510,1,30,17,154.0588235,163.2,15,0,2,0,1,0,34,1,-1,-1,-1
Moniyafields,510,Moniyafields510,1,30,4,602,2200,1,0,2,0,1,0,34,1,-1,-1,-1
Nanle,510,Nanle510,1,31,10,1574.4,2595.5,6,0,2,0,3,0,34,1,-1,-1,-1
Nereydaz,510,Nereydaz510,1,16,3,116.3333333,0,0,0,2,0,0,0,34,1,-1,-1,-1
Seasun 92,510,Seasun 92510,1,30,4,752.25,2804,1,0,2,0,1,0,34,1,-1,-1,-1
Soupreaper,510,Soupreaper510,1,44,7,701.4285714,1176,4,0,2,0,1,0,34,1,-1,-1,-1
Theneens,510,Theneens510,1,31,12,426.5833333,950.6,5,2,3,0,1,0,34,1,-1,-1,-1
Walhudaithy,510,Walhudaithy510,1,29,17,270.2352941,0,0,0,9,4,0,0,34,1,-1,-1,-1
Williamslashauna,510,Williamslashauna510,1,31,8,409.625,613,5,0,2,0,2,0,34,1,-1,-1,-1
ZachHernandez,510,ZachHernandez510,1,41,7,724.5714286,1215.75,4,0,2,0,1,0,34,1,-1,-1,-1
AlexusBlake,511,AlexusBlake511,1,110,29,351.7241379,455.05,20,0,6,3,1,0,20,1,-1,-1,-1
Andrewdom,511,Andrewdom511,1,110,11,508.5454545,0,0,0,10,0,0,0,20,1,-1,-1,-1
Andrewdom1,511,Andrewdom1511,1,4,2,66,0,0,0,2,0,0,0,20,1,-1,-1,-1
Asagarcia,511,Asagarcia511,1,118,31,384.2903226,0,0,0,28,3,0,0,20,1,-1,-1,-1
Caitlands,511,Caitlands511,1,110,5,1261.6,0,0,0,5,0,0,0,20,1,-1,-1,-1
Camilla Latin,511,Camilla Latin511,1,110,35,343.3142857,516.1111111,18,0,9,8,2,0,20,1,-1,-1,-1
Chastity Chov,511,Chastity Chov511,1,91,32,165.75,168.5517241,29,0,2,1,1,0,20,1,-1,-1,-1
CMingus2,511,CMingus2511,1,75,3,55,0,0,0,2,0,0,0,20,1,-1,-1,-1
CRSmith1,511,CRSmith1511,1,152,21,1191.761905,1719.357143,14,0,4,3,1,0,20,1,-1,-1,-1
Ecantwell,511,Ecantwell511,1,525,22,636.7272727,1139.818182,11,0,7,4,2,0,20,1,-1,-1,-1
Itsliterallyjuststeve,511,Itsliterallyjuststeve511,1,5,11,147.5454545,0,0,0,7,4,0,0,20,1,-1,-1,-1
Jordanlayli,511,Jordanlayli511,1,105,14,624.5,205,1,0,8,3,1,0,20,1,-1,-1,-1
JoyY,511,JoyY511,1,89,6,1119.666667,0,0,0,6,0,0,0,20,1,-1,-1,-1
Katieburkhead,511,Katieburkhead511,1,95,28,286.6785714,3107,1,0,24,3,1,0,20,1,-1,-1,-1
Kbrookins,511,Kbrookins511,1,104,34,151.0294118,158.5769231,26,0,5,3,1,0,20,1,-1,-1,-1
Kjh2387,511,Kjh2387511,1,97,28,369.4285714,1247.333333,3,2,20,3,1,0,20,1,-1,-1,-1
Phoebesosa78,511,Phoebesosa78511,1,99,31,361.0645161,402.2692308,26,0,4,1,1,0,20,1,-1,-1,-1
Rtw625,511,Rtw625511,1,93,94,231.9042553,756.7333333,15,0,74,5,3,0,20,1,-1,-1,-1
Spiderman2002,511,Spiderman2002511,1,110,7,2841.571429,0,0,0,6,0,0,0,20,1,-1,-1,-1
Ysg75,511,Ysg75511,1,113,7,1558,0,0,0,4,3,0,0,20,1,-1,-1,-1
OccupadoAvocado,513,OccupadoAvocado513,1,75,1,0,0,0,0,0,0,0,0,4,1,-1,-1,-1
Tgduke734,513,Tgduke734513,1,74,1,0,0,0,0,0,0,0,0,4,1,-1,-1,-1
Um-nfjf,513,Um-nfjf513,1,76,1,0,0,0,0,0,0,0,0,4,1,-1,-1,-1
WLClements,513,WLClements513,1,75,1,0,0,0,0,0,0,0,0,4,1,-1,-1,-1
Anushkabg,514,Anushkabg514,1,86,57,1351.315789,1238.5,8,5,40,4,3,0,13,1,-1,-1,1
Avapowchik,514,Avapowchik514,1,85,69,399.4927536,209.6,25,3,37,4,2,0,13,1,-1,-1,1
Billysuh,514,Billysuh514,1,88,24,803.3333333,0,0,1,23,0,0,0,13,1,-1,-1,-1
Emma Carleton,514,Emma Carleton514,1,88,65,599.2769231,-4.5,2,1,51,11,2,0,13,1,-1,-1,1
Jaludvigsen9,514,Jaludvigsen9514,1,88,73,388.2876712,142.1538462,26,1,43,3,2,0,13,1,-1,-1,-1
Joanatrodrigues,514,Joanatrodrigues514,1,88,62,359.516129,147.6470588,34,0,28,0,1,0,13,1,-1,-1,1
Katie Zack,514,Katie Zack514,1,85,51,568.5882353,0,0,0,46,5,0,0,13,1,-1,-1,-1
Kbaker22,514,Kbaker22514,1,79,42,468.452381,0,0,0,37,5,0,0,13,1,-1,-1,-1
Levine401,514,Levine401514,1,85,68,384.2941176,14.43478261,23,1,37,6,3,0,13,1,-1,-1,-1
Novey.n,514,Novey.n514,1,85,132,432.3409091,239.3,50,2,65,13,5,0,13,1,-1,-1,1
Npilchen,514,Npilchen514,1,784,359,99.8189415,320.4035088,57,0,280,21,8,0,13,1,-1,-1,1
Rroberie,514,Rroberie514,1,633,98,596.2653061,989.9375,16,4,71,7,6,0,13,1,-1,-1,1
Xinchi M,514,Xinchi M514,1,525,100,427.69,300.3783784,37,3,54,6,2,0,13,1,-1,-1,-1
