control_wpid,courseID,uniqueID,return,return2,death,dayindex,score_diff,reach_out_stu,reach_out_wiki,reach_in_stu,reach_in_wiki,student_Outdegree,wiki_Outdegree,student_Indegree,wiki_Indegree,student_weighted_outdegree,wiki_weighted_outdegree,student_weighted_indegree,wiki_weighted_indegree,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,group_recheck
Kolzel,498,Kolzel498,0,0,1,72,0,3,0,3,1,1,0,1,1,3,0,3,1,32,476.3125,4275,2,1,21,7,1,0,23,1,-1,-1
Komadai,79,Komadai79,0,0,1,37,0,0,0,0,2,0,0,0,1,0,0,0,2,17,441.6470588,715.5,10,0,3,0,1,0,7,1,-1,-1
Konecnaa,325,Konecnaa325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,-1,-1
Konichiwa411,565,Konichiwa411565,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.33333333,11,2,0,1,0,2,0,11,1,-1,-1
Kopikaae,246,Kopikaae246,0,0,1,70,0.004,0,0,0,3,0,0,0,3,0,0,0,3,19,483.7894737,268.6666667,3,0,15,0,1,0,42,1,-1,-1
Korccw,8,Korccw8,0,0,1,46,0,0,0,0,1,0,0,0,1,0,0,0,1,6,197.1666667,0,0,0,2,3,0,1,12,1,1,1
Korina-NP,24,Korina-NP24,0,0,1,227,0.651,0,0,0,0,0,0,0,0,0,0,0,0,25,853.08,2699.5,2,0,20,3,1,1,32,1,1,1
Korny247,525,Korny247525,0,0,1,35,0.14,1,0,1,1,1,0,1,1,1,0,1,1,22,506.2272727,218.5,2,7,11,1,1,1,26,1,1,1
Korochan98,720,Korochan98720,0,0,1,56,-0.008,1,0,0,1,1,0,0,3,1,0,0,3,21,453,590,1,0,15,4,1,0,136,1,-1,-1
Kosaskih,141,Kosaskih141,0,0,1,106,1.366,2,0,2,2,2,0,2,2,2,0,2,2,37,705.1081081,2200.25,4,19,7,6,1,0,48,1,-1,-1
KoshiaCaron,231,KoshiaCaron231,0,0,1,42,0,0,0,0,1,0,0,0,1,0,0,0,1,12,153.1666667,0,0,0,6,5,0,1,17,1,1,1
Kosunsade,38,Kosunsade38,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,2,0,0,0,22,1,-1,-1
Koteberidze,325,Koteberidze325,0,0,1,97,0,1,0,0,2,1,0,0,2,1,0,0,2,27,400.037037,426.5217391,23,1,1,1,1,0,20,1,-1,1
Koufidakisk,264,Koufidakisk264,0,0,1,39,0,0,0,0,1,0,0,0,1,0,0,0,1,5,484,1080,2,1,2,0,1,0,32,1,-1,-1
Kougabaka,352,Kougabaka352,0,0,1,52,0,0,0,0,2,0,0,0,2,0,0,0,2,7,76,0,0,0,6,1,0,1,39,1,1,1
Kousii2,319,Kousii2319,0,0,1,14,0.02,0,0,0,1,0,0,0,1,0,0,0,1,6,-312.8333333,0,0,0,4,1,0,0,42,1,-1,-1
Kowalskm,744,Kowalskm744,0,0,1,60,3.217,0,0,0,1,0,0,0,1,0,0,0,1,25,422.48,121,5,3,12,3,3,1,23,1,1,1
Kp23,482,Kp23482,0,0,1,69,1.217,6,0,2,4,0,0,0,5,0,0,0,6,69,507.173913,1084.9,10,10,29,12,1,1,28,1,1,1
Kpalani5,40,Kpalani540,0,0,1,58,0,0,0,0,1,0,0,0,1,0,0,0,1,29,302.6551724,515.3333333,15,0,7,3,1,1,51,1,1,1
Kpangg,602,Kpangg602,0,0,1,59,0.001,0,0,0,1,0,0,0,1,0,0,0,1,6,330.5,607.6666667,3,0,2,0,2,0,19,1,-1,-1
Kpapayoanou,739,Kpapayoanou739,0,0,1,75,-0.002,0,0,1,2,0,0,1,4,0,0,1,4,4,2391.5,4719,2,0,2,0,2,0,15,1,-1,-1
Kpark252,761,Kpark252761,0,0,1,70,0.125,2,0,1,5,1,0,1,4,2,0,1,5,35,79.8,55.5,2,1,26,3,2,1,23,1,1,1
Kparkin2,674,Kparkin2674,0,0,1,25,0.261,0,0,0,0,0,0,0,2,0,0,0,2,23,229.5217391,562.75,4,1,4,10,1,0,48,1,-1,-1
Kpars100100,303,Kpars100100303,0,0,1,74,0,2,3,0,2,0,2,0,2,0,3,0,2,7,497.1428571,0,0,2,0,5,0,1,20,1,1,1
Kpasquariello,75,Kpasquariello75,0,0,1,2,0.595,0,0,0,2,0,0,0,2,0,0,0,2,8,327.75,422.2,5,0,2,0,1,1,15,1,1,1
Kpat1996,649,Kpat1996649,0,0,1,31,0,0,0,0,1,0,0,0,1,0,0,0,1,53,392.0943396,0,0,0,31,21,0,1,80,1,1,1
Kpatt24,330,Kpatt24330,0,0,1,93,0.012,2,0,5,1,0,0,0,1,0,0,0,1,42,364.3571429,6610,1,0,35,5,1,1,34,1,1,-1
Kpayne2,107,Kpayne2107,0,0,1,49,0.263,2,0,1,1,1,0,1,1,1,0,1,1,19,394.3684211,672,3,3,10,2,1,1,34,1,1,1
Kperez18,78,Kperez1878,0,0,1,18,0.166,0,0,0,2,0,0,0,2,0,0,0,2,9,157,378.5,2,2,2,0,2,0,16,1,-1,-1
Kphil91,543,Kphil91543,0,0,1,35,0,0,0,1,0,0,0,0,0,0,0,0,0,19,179.4736842,160.5625,16,0,3,0,1,1,18,1,1,1
Kpieroth,360,Kpieroth360,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,1,-1,-1
Kpinola,220,Kpinola220,0,0,1,26,0.132,0,0,0,1,0,0,0,3,0,0,0,3,15,162.6,201.5,2,1,8,3,1,1,106,1,1,1
